41	394	275
83	395	277
125	396	279
166	397	280
208	399	281
250	400	283
291	401	285
333	403	284
375	406	285
416	409	285
458	412	286
500	415	285
541	418	286
583	421	286
625	423	286
666	429	285
708	433	284
750	436	283
791	440	282
833	449	283
875	455	283
916	459	283
958	463	282
1000	470	282
1041	473	282
1083	476	282
1125	478	282
1166	483	281
1208	485	281
1250	487	280
1291	489	279
1333	494	278
1375	496	278
1416	498	277
1458	501	277
1500	505	275
1541	507	274
1583	508	273
1625	510	273
1666	513	273
1708	514	273
1750	515	273
1791	516	273
1833	515	274
1875	515	275
1916	515	276
1958	515	278
2000	514	281
2041	513	283
2083	513	284
2125	512	287
2166	512	292
2208	512	294
2250	513	295
2291	514	297
2333	517	299
2375	518	299
2416	520	299
2458	523	299
2500	528	298
2541	531	298
2583	533	298
2625	536	297
2666	540	296
2708	542	295
2750	544	295
2791	546	294
2833	550	294
2875	552	293
2916	554	293
2958	557	293
3000	563	294
3041	566	293
3083	567	292
3125	568	292
3166	571	291
3208	571	291
3250	572	290
3291	573	289
3333	573	288
3375	574	288
3416	574	289
3458	574	289
3500	575	291
3541	575	292
3583	575	294
3625	575	296
3666	575	305
3708	575	308
3750	575	310
3791	575	312
3833	574	314
3875	574	316
3916	574	317
3958	573	320
4000	572	322
4041	571	323
4083	569	325
4125	567	327
4166	563	331
4208	561	334
4250	560	336
4291	560	338
4333	562	340
4375	562	341
4416	562	341
4458	562	341
4500	563	341
4541	563	341
4583	563	341
4625	563	340
4666	563	339
4708	562	338
4750	561	337
4791	559	332
4833	558	331
4875	558	329
4916	557	327
4958	558	323
5000	558	321
5041	558	319
5083	559	318
5125	563	315
5166	563	314
5208	563	314
5250	563	313
5291	562	310
5333	559	308
5375	555	307
5416	549	303
5458	537	296
5500	532	293
5541	529	291
5583	526	289
5625	518	287
5666	515	286
5708	512	285
5750	511	284
5791	505	284
5833	502	283
5875	498	282
5916	494	281
5958	484	281
6000	478	282
6041	472	283
6083	466	283
6125	456	285
6166	451	286
6208	447	287
6250	443	288
6291	434	287
6333	429	286
6375	424	286
6416	419	285
6458	406	282
6500	398	279
6541	391	276
6583	385	272
6625	375	269
6666	372	267
6708	369	266
6750	366	265
6791	361	263
6833	359	263
6875	356	262
6916	354	262
6958	350	261
7000	348	259
7041	345	258
7083	343	257
7125	337	255
7166	334	255
7208	330	257
7250	326	257
7291	319	258
7333	315	259
7375	312	260
7416	308	261
7458	302	266
7500	298	271
7541	295	276
7583	293	282
7625	292	290
7666	291	297
7708	291	305
7750	291	312
7791	292	327
7833	293	332
7875	293	336
7916	293	341
7958	294	349
8000	293	353
8041	292	356
8083	291	358
8125	289	361
8166	288	363
8208	288	364
8250	287	364
8291	288	364
8333	290	365
8375	292	367
8416	295	368
8458	303	368
8500	309	368
8541	316	369
8583	322	369
8625	330	370
8666	332	369
8708	331	368
8750	329	365
8791	320	357
8833	315	353
8875	309	348
8916	304	344
8958	290	333
9000	282	325
9041	274	318
9083	267	311
9125	256	298
9166	252	292
9208	248	286
9250	246	280
9291	246	272
9333	247	270
9375	248	269
9416	248	269
9458	250	270
9500	251	270
9541	251	272
9583	250	272
9625	249	274
9666	248	274
9708	246	275
9750	244	275
9791	239	275
9833	237	275
9875	235	274
9916	234	274
9958	233	274
10000	233	276
10041	233	277
10083	233	277
10125	231	277
10166	231	277
10208	231	278
10250	230	278
